1 at: 4.98  st: 4.98  vt: 2.96  dt: 7.93
2 at: 6.65  st: 6.65  vt: 4.97  dt: 11.62
3 at: 11.22  st: 11.22  vt: 3.55  dt: 14.77
6 at: 19.59  st: 19.59  vt: 4.03  dt: 23.62
4 at: 11.46  st: 11.46  vt: 12.81  dt: 24.27
7 at: 19.91  st: 19.91  vt: 5.01  dt: 24.92
0 at: 2.95  st: 2.95  vt: 23.23  dt: 26.18
5 at: 16.49  st: 16.49  vt: 10.58  dt: 27.07
11 at: 27.35  st: 27.35  vt: 1.05  dt: 28.40
13 at: 28.38  st: 28.38  vt: 0.08  dt: 28.46
12 at: 28.06  st: 28.06  vt: 0.65  dt: 28.72
8 at: 20.36  st: 20.36  vt: 8.48  dt: 28.85
14 at: 29.34  st: 29.34  vt: 1.46  dt: 30.80
15 at: 29.88  st: 29.88  vt: 1.46  dt: 31.34
10 at: 25.65  st: 25.65  vt: 6.15  dt: 31.80
9 at: 22.67  st: 23.62  vt: 9.24  dt: 32.86
21 at: 37.91  st: 37.91  vt: 2.82  dt: 40.72
19 at: 37.51  st: 37.51  vt: 3.95  dt: 41.47
23 at: 39.27  st: 41.47  vt: 1.70  dt: 43.17
16 at: 33.17  st: 33.17  vt: 11.52  dt: 44.69
25 at: 45.89  st: 45.89  vt: 0.65  dt: 46.54
18 at: 36.26  st: 36.26  vt: 11.98  dt: 48.25
22 at: 38.16  st: 40.72  vt: 10.25  dt: 50.97
17 at: 35.83  st: 35.83  vt: 17.92  dt: 53.74
26 at: 49.31  st: 49.31  vt: 5.28  dt: 54.59
24 at: 45.62  st: 45.62  vt: 11.95  dt: 57.57
27 at: 50.47  st: 50.47  vt: 16.86  dt: 67.33
32 at: 55.96  st: 67.33  vt: 1.04  dt: 68.37
20 at: 37.77  st: 37.77  vt: 33.46  dt: 71.24
28 at: 50.58  st: 50.97  vt: 22.66  dt: 73.63
29 at: 50.85  st: 53.74  vt: 20.22  dt: 73.96
35 at: 59.68  st: 73.63  vt: 0.51  dt: 74.14
37 at: 63.03  st: 74.14  vt: 1.92  dt: 76.07
38 at: 63.63  st: 76.07  vt: 0.63  dt: 76.69
30 at: 53.08  st: 54.59  vt: 23.26  dt: 77.85
31 at: 53.17  st: 57.57  vt: 21.21  dt: 78.79
39 at: 63.76  st: 76.69  vt: 2.64  dt: 79.34
33 at: 56.38  st: 68.37  vt: 11.19  dt: 79.56
43 at: 67.62  st: 79.56  vt: 1.57  dt: 81.13
40 at: 63.99  st: 77.85  vt: 4.40  dt: 82.25
42 at: 67.46  st: 79.34  vt: 4.90  dt: 84.23
44 at: 68.82  st: 81.13  vt: 4.49  dt: 85.62
34 at: 57.93  st: 71.24  vt: 17.28  dt: 88.52
41 at: 64.48  st: 78.79  vt: 10.19  dt: 88.98
46 at: 74.30  st: 84.23  vt: 5.21  dt: 89.44
45 at: 70.51  st: 82.25  vt: 7.39  dt: 89.64
50 at: 75.48  st: 89.44  vt: 0.75  dt: 90.20
36 at: 61.01  st: 73.96  vt: 17.44  dt: 91.40
47 at: 74.68  st: 85.62  vt: 9.30  dt: 94.92
51 at: 76.19  st: 89.64  vt: 5.31  dt: 94.95
52 at: 78.82  st: 90.20  vt: 5.88  dt: 96.08
54 at: 80.03  st: 94.92  vt: 2.13  dt: 97.05
57 at: 86.62  st: 97.05  vt: 0.11  dt: 97.16
49 at: 75.37  st: 88.98  vt: 17.26  dt: 106.25
55 at: 82.21  st: 94.95  vt: 11.96  dt: 106.91
59 at: 88.44  st: 106.25  vt: 2.45  dt: 108.70
60 at: 89.95  st: 106.91  vt: 2.52  dt: 109.44
48 at: 75.18  st: 88.52  vt: 23.09  dt: 111.61
56 at: 82.83  st: 96.08  vt: 15.62  dt: 111.70
63 at: 90.81  st: 111.61  vt: 0.43  dt: 112.03
64 at: 91.00  st: 111.70  vt: 1.77  dt: 113.48
61 at: 90.38  st: 108.70  vt: 4.95  dt: 113.64
58 at: 88.17  st: 97.16  vt: 20.33  dt: 117.49
66 at: 98.64  st: 113.48  vt: 5.80  dt: 119.28
53 at: 79.22  st: 91.40  vt: 28.25  dt: 119.65
69 at: 100.39  st: 119.28  vt: 0.56  dt: 119.84
62 at: 90.72  st: 109.44  vt: 10.68  dt: 120.12
68 at: 100.22  st: 117.49  vt: 3.05  dt: 120.55
73 at: 107.19  st: 120.55  vt: 2.83  dt: 123.38
74 at: 107.33  st: 123.38  vt: 1.77  dt: 125.16
67 at: 99.94  st: 113.64  vt: 12.34  dt: 125.98
71 at: 104.34  st: 119.84  vt: 7.29  dt: 127.13
70 at: 103.49  st: 119.65  vt: 7.49  dt: 127.14
77 at: 113.99  st: 127.13  vt: 2.74  dt: 129.87
65 at: 95.41  st: 112.03  vt: 18.61  dt: 130.64
78 at: 114.01  st: 127.14  vt: 3.83  dt: 130.98
80 at: 117.08  st: 130.64  vt: 2.46  dt: 133.10
76 at: 110.21  st: 125.98  vt: 11.14  dt: 137.12
75 at: 107.73  st: 125.16  vt: 16.39  dt: 141.54
84 at: 122.13  st: 141.54  vt: 3.13  dt: 144.67
83 at: 120.71  st: 137.12  vt: 9.10  dt: 146.22
79 at: 115.99  st: 129.87  vt: 16.65  dt: 146.51
86 at: 125.01  st: 146.22  vt: 2.93  dt: 149.15
87 at: 125.83  st: 146.51  vt: 2.83  dt: 149.34
82 at: 117.73  st: 133.10  vt: 16.37  dt: 149.47
72 at: 106.59  st: 120.12  vt: 29.84  dt: 149.96
89 at: 128.77  st: 149.34  vt: 3.45  dt: 152.79
91 at: 130.94  st: 149.96  vt: 6.69  dt: 156.65
90 at: 130.37  st: 149.47  vt: 7.50  dt: 156.97
88 at: 127.30  st: 149.15  vt: 10.19  dt: 159.34
85 at: 124.60  st: 144.67  vt: 17.55  dt: 162.22
95 at: 141.99  st: 159.34  vt: 4.22  dt: 163.56
94 at: 137.76  st: 156.97  vt: 8.25  dt: 165.21
98 at: 147.52  st: 165.21  vt: 0.35  dt: 165.57
96 at: 143.49  st: 162.22  vt: 6.94  dt: 169.16
92 at: 133.29  st: 152.79  vt: 17.51  dt: 170.30
100 at: 149.67  st: 169.16  vt: 2.48  dt: 171.64
97 at: 144.13  st: 163.56  vt: 8.32  dt: 171.89
93 at: 137.64  st: 156.65  vt: 16.26  dt: 172.92
102 at: 152.13  st: 171.64  vt: 2.27  dt: 173.92
99 at: 149.04  st: 165.57  vt: 9.03  dt: 174.60
106 at: 153.55  st: 174.60  vt: 3.29  dt: 177.89
107 at: 155.94  st: 177.89  vt: 0.38  dt: 178.27
103 at: 152.74  st: 171.89  vt: 6.65  dt: 178.54
81 at: 117.49  st: 130.98  vt: 50.63  dt: 181.61
104 at: 152.89  st: 172.92  vt: 8.82  dt: 181.74
110 at: 159.79  st: 181.61  vt: 3.19  dt: 184.79
111 at: 166.69  st: 181.74  vt: 4.67  dt: 186.41
105 at: 152.93  st: 173.92  vt: 14.90  dt: 188.81
114 at: 170.45  st: 188.81  vt: 1.82  dt: 190.63
109 at: 158.13  st: 178.54  vt: 12.31  dt: 190.85
116 at: 175.54  st: 190.85  vt: 1.76  dt: 192.61
115 at: 174.54  st: 190.63  vt: 4.42  dt: 195.05
108 at: 157.56  st: 178.27  vt: 17.85  dt: 196.12
119 at: 177.31  st: 196.12  vt: 0.62  dt: 196.74
113 at: 170.36  st: 186.41  vt: 11.52  dt: 197.93
101 at: 150.93  st: 170.30  vt: 27.98  dt: 198.28
118 at: 177.12  st: 195.05  vt: 5.71  dt: 200.76
117 at: 176.27  st: 192.61  vt: 16.12  dt: 208.73
123 at: 181.59  st: 200.76  vt: 10.58  dt: 211.34
122 at: 180.28  st: 198.28  vt: 16.32  dt: 214.60
112 at: 168.78  st: 184.79  vt: 29.82  dt: 214.61
127 at: 187.48  st: 214.61  vt: 1.11  dt: 215.73
128 at: 187.51  st: 215.73  vt: 0.37  dt: 216.09
129 at: 188.91  st: 216.09  vt: 0.24  dt: 216.34
126 at: 185.33  st: 214.60  vt: 2.03  dt: 216.63
130 at: 189.67  st: 216.34  vt: 2.10  dt: 218.44
125 at: 182.83  st: 211.34  vt: 10.39  dt: 221.73
124 at: 181.85  st: 208.73  vt: 20.14  dt: 228.87
121 at: 179.25  st: 197.93  vt: 34.24  dt: 232.17
120 at: 178.03  st: 196.74  vt: 36.73  dt: 233.46
134 at: 192.53  st: 228.87  vt: 5.83  dt: 234.70
135 at: 194.85  st: 232.17  vt: 2.72  dt: 234.89
132 at: 190.38  st: 218.44  vt: 17.33  dt: 235.77
131 at: 190.15  st: 216.63  vt: 20.97  dt: 237.60
140 at: 201.09  st: 237.60  vt: 3.22  dt: 240.82
137 at: 195.49  st: 234.70  vt: 8.79  dt: 243.49
138 at: 195.65  st: 234.89  vt: 8.94  dt: 243.83
142 at: 201.28  st: 243.49  vt: 5.67  dt: 249.16
136 at: 194.97  st: 233.46  vt: 17.91  dt: 251.37
133 at: 192.17  st: 221.73  vt: 34.84  dt: 256.56
146 at: 208.56  st: 256.56  vt: 1.51  dt: 258.07
139 at: 196.20  st: 235.77  vt: 23.36  dt: 259.12
143 at: 202.27  st: 243.83  vt: 15.56  dt: 259.39
149 at: 214.70  st: 259.39  vt: 1.26  dt: 260.65
147 at: 212.24  st: 258.07  vt: 3.06  dt: 261.13
145 at: 205.71  st: 251.37  vt: 11.30  dt: 262.67
