1 at: 4.98  st: 4.98  vt: 2.96  dt: 7.93
2 at: 6.65  st: 6.65  vt: 4.97  dt: 11.62
3 at: 11.22  st: 11.22  vt: 3.55  dt: 14.77
6 at: 19.59  st: 19.59  vt: 4.03  dt: 23.62
4 at: 11.46  st: 11.46  vt: 12.81  dt: 24.27
7 at: 19.91  st: 19.91  vt: 5.01  dt: 24.92
0 at: 2.95  st: 2.95  vt: 23.23  dt: 26.18
5 at: 16.49  st: 16.49  vt: 10.58  dt: 27.07
11 at: 27.35  st: 27.35  vt: 1.05  dt: 28.40
13 at: 28.38  st: 28.38  vt: 0.08  dt: 28.46
12 at: 28.06  st: 28.06  vt: 0.65  dt: 28.72
8 at: 20.36  st: 20.36  vt: 8.48  dt: 28.85
14 at: 29.34  st: 29.34  vt: 1.46  dt: 30.80
15 at: 29.88  st: 29.88  vt: 1.46  dt: 31.34
10 at: 25.65  st: 25.65  vt: 6.15  dt: 31.80
9 at: 22.67  st: 22.67  vt: 9.24  dt: 31.91
21 at: 37.91  st: 37.91  vt: 2.82  dt: 40.72
19 at: 37.51  st: 37.51  vt: 3.95  dt: 41.47
23 at: 39.27  st: 40.72  vt: 1.70  dt: 42.43
16 at: 33.17  st: 33.17  vt: 11.52  dt: 44.69
25 at: 45.89  st: 45.89  vt: 0.65  dt: 46.54
18 at: 36.26  st: 36.26  vt: 11.98  dt: 48.25
22 at: 38.16  st: 38.16  vt: 10.25  dt: 48.41
17 at: 35.83  st: 35.83  vt: 17.92  dt: 53.74
26 at: 49.31  st: 49.31  vt: 5.28  dt: 54.59
24 at: 45.62  st: 45.62  vt: 11.95  dt: 57.57
32 at: 55.96  st: 57.57  vt: 1.04  dt: 58.62
27 at: 50.47  st: 50.47  vt: 16.86  dt: 67.33
33 at: 56.38  st: 58.62  vt: 11.19  dt: 69.80
35 at: 59.68  st: 69.80  vt: 0.51  dt: 70.31
29 at: 50.85  st: 50.85  vt: 20.22  dt: 71.07
20 at: 37.77  st: 37.77  vt: 33.46  dt: 71.24
38 at: 63.63  st: 71.24  vt: 0.63  dt: 71.86
37 at: 63.03  st: 71.07  vt: 1.92  dt: 73.00
28 at: 50.58  st: 50.58  vt: 22.66  dt: 73.24
39 at: 63.76  st: 71.86  vt: 2.64  dt: 74.50
31 at: 53.17  st: 54.59  vt: 21.21  dt: 75.80
30 at: 53.08  st: 53.74  vt: 23.26  dt: 77.00
43 at: 67.62  st: 75.80  vt: 1.57  dt: 77.38
40 at: 63.99  st: 73.00  vt: 4.40  dt: 77.40
42 at: 67.46  st: 74.50  vt: 4.90  dt: 79.40
44 at: 68.82  st: 77.00  vt: 4.49  dt: 81.50
46 at: 74.30  st: 77.40  vt: 5.21  dt: 82.61
41 at: 64.48  st: 73.24  vt: 10.19  dt: 83.44
50 at: 75.48  st: 83.44  vt: 0.75  dt: 84.19
34 at: 57.93  st: 67.33  vt: 17.28  dt: 84.61
45 at: 70.51  st: 77.38  vt: 7.39  dt: 84.77
36 at: 61.01  st: 70.31  vt: 17.44  dt: 87.76
47 at: 74.68  st: 79.40  vt: 9.30  dt: 88.70
51 at: 76.19  st: 84.19  vt: 5.31  dt: 89.50
54 at: 80.03  st: 87.76  vt: 2.13  dt: 89.89
57 at: 86.62  st: 89.89  vt: 0.11  dt: 90.00
52 at: 78.82  st: 84.61  vt: 5.88  dt: 90.49
59 at: 88.44  st: 90.49  vt: 2.45  dt: 92.94
60 at: 89.95  st: 92.94  vt: 2.52  dt: 95.46
49 at: 75.37  st: 82.61  vt: 17.26  dt: 99.88
61 at: 90.38  st: 95.46  vt: 4.95  dt: 100.41
55 at: 82.21  st: 88.70  vt: 11.96  dt: 100.66
63 at: 90.81  st: 100.41  vt: 0.43  dt: 100.83
64 at: 91.00  st: 100.66  vt: 1.77  dt: 102.43
48 at: 75.18  st: 81.50  vt: 23.09  dt: 104.59
56 at: 82.83  st: 89.50  vt: 15.62  dt: 105.12
68 at: 100.22  st: 105.12  vt: 3.05  dt: 108.18
66 at: 98.64  st: 102.43  vt: 5.80  dt: 108.23
69 at: 100.39  st: 108.18  vt: 0.56  dt: 108.74
58 at: 88.17  st: 90.00  vt: 20.33  dt: 110.33
62 at: 90.72  st: 99.88  vt: 10.68  dt: 110.56
53 at: 79.22  st: 84.77  vt: 28.25  dt: 113.01
73 at: 107.19  st: 110.56  vt: 2.83  dt: 113.39
74 at: 107.33  st: 113.01  vt: 1.77  dt: 114.79
70 at: 103.49  st: 108.23  vt: 7.49  dt: 115.73
71 at: 104.34  st: 108.74  vt: 7.29  dt: 116.03
67 at: 99.94  st: 104.59  vt: 12.34  dt: 116.93
77 at: 113.99  st: 115.73  vt: 2.74  dt: 118.46
65 at: 95.41  st: 100.83  vt: 18.61  dt: 119.44
78 at: 114.01  st: 116.03  vt: 3.83  dt: 119.86
80 at: 117.08  st: 118.46  vt: 2.46  dt: 120.92
76 at: 110.21  st: 114.79  vt: 11.14  dt: 125.93
84 at: 122.13  st: 125.93  vt: 3.13  dt: 129.06
75 at: 107.73  st: 113.39  vt: 16.39  dt: 129.78
83 at: 120.71  st: 120.92  vt: 9.10  dt: 130.02
86 at: 125.01  st: 129.78  vt: 2.93  dt: 132.71
87 at: 125.83  st: 130.02  vt: 2.83  dt: 132.84
79 at: 115.99  st: 116.93  vt: 16.65  dt: 133.57
82 at: 117.73  st: 119.86  vt: 16.37  dt: 136.23
89 at: 128.77  st: 132.84  vt: 3.45  dt: 136.29
72 at: 106.59  st: 110.33  vt: 29.84  dt: 140.17
90 at: 130.37  st: 133.57  vt: 7.50  dt: 141.07
88 at: 127.30  st: 132.71  vt: 10.19  dt: 142.90
91 at: 130.94  st: 136.23  vt: 6.69  dt: 142.92
85 at: 124.60  st: 129.06  vt: 17.55  dt: 146.61
95 at: 141.99  st: 142.90  vt: 4.22  dt: 147.12
98 at: 147.52  st: 147.52  vt: 0.35  dt: 147.87
94 at: 137.76  st: 141.07  vt: 8.25  dt: 149.32
96 at: 143.49  st: 143.49  vt: 6.94  dt: 150.43
100 at: 149.67  st: 149.67  vt: 2.48  dt: 152.15
92 at: 133.29  st: 136.29  vt: 17.51  dt: 153.80
102 at: 152.13  st: 152.15  vt: 2.27  dt: 154.42
97 at: 144.13  st: 146.61  vt: 8.32  dt: 154.93
93 at: 137.64  st: 140.17  vt: 16.26  dt: 156.44
99 at: 149.04  st: 149.04  vt: 9.03  dt: 158.08
107 at: 155.94  st: 158.08  vt: 0.38  dt: 158.46
106 at: 153.55  st: 156.44  vt: 3.29  dt: 159.73
103 at: 152.74  st: 153.80  vt: 6.65  dt: 160.46
104 at: 152.89  st: 154.42  vt: 8.82  dt: 163.25
110 at: 159.79  st: 160.46  vt: 3.19  dt: 163.64
105 at: 152.93  st: 154.93  vt: 14.90  dt: 169.83
81 at: 117.49  st: 119.44  vt: 50.63  dt: 170.08
111 at: 166.69  st: 166.69  vt: 4.67  dt: 171.36
109 at: 158.13  st: 159.73  vt: 12.31  dt: 172.04
114 at: 170.45  st: 170.45  vt: 1.82  dt: 172.26
108 at: 157.56  st: 158.46  vt: 17.85  dt: 176.30
116 at: 175.54  st: 175.54  vt: 1.76  dt: 177.29
119 at: 177.31  st: 177.31  vt: 0.62  dt: 177.93
101 at: 150.93  st: 150.93  vt: 27.98  dt: 178.92
115 at: 174.54  st: 174.54  vt: 4.42  dt: 178.96
113 at: 170.36  st: 170.36  vt: 11.52  dt: 181.88
118 at: 177.12  st: 177.12  vt: 5.71  dt: 182.83
117 at: 176.27  st: 176.27  vt: 16.12  dt: 192.39
123 at: 181.59  st: 181.88  vt: 10.58  dt: 192.46
126 at: 185.33  st: 192.46  vt: 2.03  dt: 194.49
127 at: 187.48  st: 194.49  vt: 1.11  dt: 195.60
128 at: 187.51  st: 195.60  vt: 0.37  dt: 195.97
129 at: 188.91  st: 195.97  vt: 0.24  dt: 196.21
122 at: 180.28  st: 180.28  vt: 16.32  dt: 196.60
130 at: 189.67  st: 196.21  vt: 2.10  dt: 198.31
112 at: 168.78  st: 168.78  vt: 29.82  dt: 198.60
125 at: 182.83  st: 192.39  vt: 10.39  dt: 202.78
124 at: 181.85  st: 182.83  vt: 20.14  dt: 202.97
135 at: 194.85  st: 202.97  vt: 2.72  dt: 205.69
134 at: 192.53  st: 202.78  vt: 5.83  dt: 208.61
121 at: 179.25  st: 179.25  vt: 34.24  dt: 213.48
120 at: 178.03  st: 178.03  vt: 36.73  dt: 214.76
132 at: 190.38  st: 198.31  vt: 17.33  dt: 215.64
137 at: 195.49  st: 208.61  vt: 8.79  dt: 217.40
131 at: 190.15  st: 196.60  vt: 20.97  dt: 217.57
140 at: 201.09  st: 215.64  vt: 3.22  dt: 218.86
138 at: 195.65  st: 213.48  vt: 8.94  dt: 222.42
142 at: 201.28  st: 217.57  vt: 5.67  dt: 223.24
136 at: 194.97  st: 205.69  vt: 17.91  dt: 223.60
146 at: 208.56  st: 223.60  vt: 1.51  dt: 225.10
147 at: 212.24  st: 225.10  vt: 3.06  dt: 228.17
133 at: 192.17  st: 198.60  vt: 34.84  dt: 233.43
148 at: 213.10  st: 228.17  vt: 6.24  dt: 234.40
143 at: 202.27  st: 218.86  vt: 15.56  dt: 234.42
145 at: 205.71  st: 223.24  vt: 11.30  dt: 234.53
149 at: 214.70  st: 233.43  vt: 1.26  dt: 234.69
